,Rooms,Type,Distance,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Regionname,Propertycount,Comercio y servicios,Restauración y vida social,Transporte y conectividad,Cultura y recreación,Financiero,Espiritual y comunitario,Salud,Educación,metodo,target,dif_fechas
1,2.0,h,2.5,2.0,1.0,1.0,5.318119993844216,Yarra City Council,Northern Metropolitan,4019.0,111.0,35.0,42.0,12.0,6.0,3.0,0.0,1.0,prop_vendida,14.207553321415745,0.0
2,2.0,h,2.5,2.0,1.0,0.0,5.062595033026967,Yarra City Council,Northern Metropolitan,4019.0,206.0,125.0,83.0,13.0,8.0,6.0,8.0,2.0,prop_vendida,13.849912950864715,4.762173934797756
4,3.0,h,2.5,3.0,2.0,0.0,4.912654885736052,Yarra City Council,Northern Metropolitan,4019.0,140.0,92.0,65.0,11.0,7.0,5.0,9.0,1.0,prop_vendida_prev,14.19736648302693,4.770684624465665
5,3.0,h,2.5,3.0,2.0,1.0,4.564348191467836,Yarra City Council,Northern Metropolitan,4019.0,102.0,35.0,52.0,14.0,6.0,3.0,0.0,0.0,prop_transferida,13.652992804936396,0.0
6,4.0,h,2.5,3.0,1.0,2.0,4.804021044733257,Yarra City Council,Northern Metropolitan,4019.0,200.0,126.0,79.0,13.0,11.0,6.0,6.0,2.0,puja_del_vendedor,14.285514812209815,1.0986122886681098
10,2.0,h,2.5,2.0,1.0,0.0,5.209486152841421,Yarra City Council,Northern Metropolitan,4019.0,177.0,96.0,62.0,14.0,10.0,4.0,4.0,3.0,prop_vendida,13.754699481266208,0.0
11,3.0,h,2.5,4.0,2.0,0.0,5.5093883366279774,Yarra City Council,Northern Metropolitan,4019.0,127.0,67.0,47.0,10.0,10.0,3.0,4.0,1.0,prop_vendida,14.444652941597205,4.672828834461906
14,2.0,h,2.5,2.0,1.0,2.0,5.552959584921617,Yarra City Council,Northern Metropolitan,4019.0,172.0,98.0,70.0,14.0,10.0,6.0,5.0,3.0,prop_vendida,14.307765407391587,4.844187086458591
18,2.0,h,2.5,3.0,1.0,2.0,5.402677381872279,Yarra City Council,Northern Metropolitan,4019.0,105.0,37.0,40.0,11.0,6.0,3.0,1.0,1.0,prop_vendida,13.90809065083398,4.762173934797756
23,2.0,u,2.5,2.0,2.0,1.0,0.6931471805599453,Yarra City Council,Northern Metropolitan,4019.0,82.0,51.0,48.0,7.0,6.0,4.0,5.0,3.0,puja_del_vendedor,13.45883704259595,0.0
