direccion_completa,x,y
"Port Melbourne, 1001/101 Bay St, 3207",-37.8406249,144.9395556
"St Kilda, 1002/6 St Kilda Rd, 3182",-37.85662,144.9834395
"Southbank, 1003/133 City Rd, 3006",-37.823361,144.963506
"Melbourne, 1007/594 St Kilda Rd, 3000",-37.8496047,144.9799085
"Abbotsford, 1009/1 Acacia Pl, 3067",-37.8114058,145.0138021
"Melbourne, 1009/70 Queens Rd, 3000",-37.8511907,144.9789082
"Croydon, 100A Alto Av, 3136",-37.7899993,145.269642
"Altona North, 100A Fifth Av, 3025",-37.8343622,144.8511511
"Mooroolbark, 100A Landscape Dr, 3138",-37.7686447,145.3309995
"Oakleigh South, 100 Sherbrooke Av, 3167",-37.9392648,145.0879881
"Murrumbeena, 10/106 Murrumbeena Rd, 3163",-37.8913869,145.0664153
"Carlton North, 10/1072 Lygon St, 3054",-37.7805155,144.9705975
"McKinnon, 101/10 Station Av, 3204",-37.9100368,145.0393667
"Preston, 10/115 High St, 3072",-37.7485967,145.0020553
"Brunswick, 10/116 Albert St, 3056",-37.7700116,144.971548
"Melbourne, 1011/74 Queens Rd, 3000",-37.8522676,144.9793122
"Glen Iris, 101/18 Leopold St, 3146",-37.8595672,145.0430571
"West Melbourne, 10/11 Anderson St, 3003",-37.804797,144.9417308
"Essendon, 101/201 Buckley St, 3040",-37.7562918,144.9088899
"Caulfield North, 10/125 Kambrook Rd, 3161",-37.8802861,145.0346198
"St Kilda, 10/12 Acland St, 3182",-37.8630983,144.974878
"St Kilda, 10/12 Blessington St, 3182",-37.8705838,144.9797169
"Croydon, 10/12 Emora St, 3136",-37.8065387,145.2892621
"Essendon, 10/130 Hoffmans Rd, 3040",-37.7403632,144.892061
"Camberwell, 10/1311 Toorak Rd, 3124",-37.8495299,145.0895776
"Brunswick East, 101/380 Lygon St, 3057",-37.7670374,144.9727047
"Brunswick West, 10/13 Hopetoun Av, 3055",-37.7551796,144.9348396
"Melbourne, 101/461 St Kilda Rd, 3000",-37.840736,144.9781421
"Northcote, 101/4 Beavers Rd, 3070",-37.7665771,144.9985322
"Melbourne, 101/505 St Kilda Rd, 3000",-37.8437711,144.9789454
"Clifton Hill, 101/51 Ramsden St, 3068",-37.7907028,144.9972796
"Glen Iris, 10/1555 High St, 3146",-37.8598018,145.0601589
"Footscray, 10/155 Gordon St, 3011",-37.7964514,144.8887838
"Melbourne, 101/55 Queens Rd, 3000",-37.847853,144.9776096
"Melbourne, 101/598 St Kilda Rd, 3000",-37.8500747,144.9800715
"Toorak, 10/159 Alexandra Av, 3142",-37.8323035,145.0066139
"Thornbury, 10/167 Darebin Rd, 3071",-37.7645393,145.0131509
"Hawthorn, 10/167 Power St, 3122",-37.8255638,145.0258699
"Hawthorn East, 101/729 Burwood Rd, 3123",-37.8239803,145.0482168
"Kew, 101/75 Princess St, 3101",-37.8021384,145.0294736
"Parkville, 101/80 Cade Wy, 3052",-37.7775328,144.938243
"Melbourne, 1018/422 Collins St, 3000",-37.8170971,144.9601487
"Brighton East, 10/196 North Rd, 3187",-37.9003629,145.0087899
"Northcote, 101 Beaconsfield Pde, 3070",-37.7645261,144.9929623
"Cheltenham, 101 Benkel Av, 3192",-37.9678098,145.0859438
"Mulgrave, 101b Wanda St, 3170",-37.9291277,145.16654
"Windsor, 10/1 Ellesmere Rd, 3181",-37.8573004,144.9995068
